img1_index,img2_index,img1_name,img2_name,inliers,overlap
11,12,frame000011.png,frame000012.png,372,0.30642504118616143
11,13,frame000011.png,frame000013.png,298,0.2502099076406381
11,14,frame000011.png,frame000014.png,210,0.15384615384615385
11,15,frame000011.png,frame000015.png,147,0.1076923076923077
11,16,frame000011.png,frame000016.png,148,0.10842490842490843
11,17,frame000011.png,frame000017.png,125,0.09157509157509157
11,18,frame000011.png,frame000018.png,115,0.08424908424908426
11,19,frame000011.png,frame000019.png,95,0.0695970695970696
11,20,frame000011.png,frame000020.png,84,0.06153846153846154
12,13,frame000012.png,frame000013.png,383,0.32157850545759864
12,14,frame000012.png,frame000014.png,253,0.20840197693574958
12,15,frame000012.png,frame000015.png,182,0.14991762767710048
12,16,frame000012.png,frame000016.png,175,0.1441515650741351
12,17,frame000012.png,frame000017.png,143,0.11779242174629324
12,18,frame000012.png,frame000018.png,127,0.10461285008237232
12,19,frame000012.png,frame000019.png,89,0.07331136738056013
12,20,frame000012.png,frame000020.png,92,0.0757825370675453
13,14,frame000013.png,frame000014.png,346,0.290512174643157
13,15,frame000013.png,frame000015.png,254,0.21326616288832914
13,16,frame000013.png,frame000016.png,227,0.19059613769941225
13,17,frame000013.png,frame000017.png,185,0.15533165407220823
13,18,frame000013.png,frame000018.png,147,0.12342569269521411
13,19,frame000013.png,frame000019.png,114,0.09571788413098237
13,20,frame000013.png,frame000020.png,103,0.08648194794290512
14,15,frame000014.png,frame000015.png,480,0.34433285509325684
14,16,frame000014.png,frame000016.png,368,0.26398852223816355
14,17,frame000014.png,frame000017.png,298,0.21377331420373027
14,18,frame000014.png,frame000018.png,236,0.16929698708751795
14,19,frame000014.png,frame000019.png,178,0.12769010043041606
14,20,frame000014.png,frame000020.png,148,0.10616929698708752
14,21,frame000014.png,frame000021.png,117,0.08393113342898136
14,22,frame000014.png,frame000022.png,97,0.06958393113342898
14,23,frame000014.png,frame000023.png,82,0.058823529411764705
15,16,frame000015.png,frame000016.png,518,0.35674931129476584
15,17,frame000015.png,frame000017.png,351,0.24173553719008264
15,18,frame000015.png,frame000018.png,326,0.22451790633608815
15,19,frame000015.png,frame000019.png,250,0.1721763085399449
15,20,frame000015.png,frame000020.png,186,0.128099173553719
15,21,frame000015.png,frame000021.png,150,0.10330578512396695
15,22,frame000015.png,frame000022.png,117,0.08057851239669421
